Name;Long;Lat;ModuleName;ModuleType
Relay;4.954205;52.332817;Thermostat;Thermostat
Timestamp;"Timezone : Europe/Amsterdam";Temperature;Sp_Temperature;BoilerOn;BoilerOff
1667257227;"2022/11/01 00:00:27";19.3;14.5;0;592
1667257829;"2022/11/01 00:10:29";19.3;14.5;0;602
1667258432;"2022/11/01 00:20:32";19.3;14.5;0;603
1667259034;"2022/11/01 00:30:34";19.2;14.5;0;602
1667259636;"2022/11/01 00:40:36";19.2;14.5;0;602
1667260228;"2022/11/01 00:50:28";19.2;14.5;0;592
1667260831;"2022/11/01 01:00:31";19.2;14.5;0;603
1667261433;"2022/11/01 01:10:33";19.2;14.5;0;602
1667262035;"2022/11/01 01:20:35";19.2;14.5;0;602
1667262627;"2022/11/01 01:30:27";19.2;14.5;0;592
1667263229;"2022/11/01 01:40:29";19.1;14.5;0;602
1667263832;"2022/11/01 01:50:32";19.1;14.5;0;603
1667264434;"2022/11/01 02:00:34";19.1;14.5;0;602
1667265037;"2022/11/01 02:10:37";19.1;14.5;0;603
1667265628;"2022/11/01 02:20:28";19.1;14.5;0;591
1667266231;"2022/11/01 02:30:31";19.1;14.5;0;603
1667266833;"2022/11/01 02:40:33";19.1;14.5;0;602
1667267436;"2022/11/01 02:50:36";19.1;14.5;0;603
1667268027;"2022/11/01 03:00:27";19.1;14.5;0;591
1667268630;"2022/11/01 03:10:30";19.1;14.5;0;603
1667269232;"2022/11/01 03:20:32";19.1;14.5;0;602
1667269835;"2022/11/01 03:30:35";19.1;14.5;0;603
1667270437;"2022/11/01 03:40:37";19.1;14.5;0;602
1667271029;"2022/11/01 03:50:29";19.1;14.5;0;592
1667271631;"2022/11/01 04:00:31";19;14.5;0;602
1667272233;"2022/11/01 04:10:33";19;14.5;0;602
1667272835;"2022/11/01 04:20:35";19;14.5;0;602
1667273426;"2022/11/01 04:30:26";19;14.5;0;591
1667274029;"2022/11/01 04:40:29";19;14.5;0;603
1667274631;"2022/11/01 04:50:31";19;14.5;0;602
1667275234;"2022/11/01 05:00:34";19;14.5;0;603
1667275836;"2022/11/01 05:10:36";19;14.5;0;602
1667276428;"2022/11/01 05:20:28";19;14.5;0;592
1667277030;"2022/11/01 05:30:30";19;14.5;0;602
1667277633;"2022/11/01 05:40:33";19;14.5;0;603
1667278235;"2022/11/01 05:50:35";18.9;14.5;0;602
1667278827;"2022/11/01 06:00:27";18.9;14.5;0;592
1667279429;"2022/11/01 06:10:29";18.9;14.5;0;602
1667280032;"2022/11/01 06:20:32";18.9;14.5;0;603
1667280634;"2022/11/01 06:30:34";18.9;14.5;0;602
1667281236;"2022/11/01 06:40:36";18.9;14.5;0;602
1667281828;"2022/11/01 06:50:28";18.9;14.5;0;592
1667282430;"2022/11/01 07:00:30";18.9;14.5;0;602
1667283033;"2022/11/01 07:10:33";18.9;14.5;0;603
1667283635;"2022/11/01 07:20:35";18.9;14.5;0;602
1667284227;"2022/11/01 07:30:27";18.8;14.5;0;592
1667284829;"2022/11/01 07:40:29";18.8;14.5;0;602
1667285432;"2022/11/01 07:50:32";18.8;14.5;0;603
1667286034;"2022/11/01 08:00:34";18.9;14.5;0;602
1667286045;"2022/11/01 08:00:45";18.9;18.5;0;11
1667286637;"2022/11/01 08:10:37";18.9;18.5;0;592
1667287239;"2022/11/01 08:20:39";18.8;18.5;0;602
1667287841;"2022/11/01 08:30:41";18.8;18.5;0;602
1667288444;"2022/11/01 08:40:44";18.8;18.5;0;603
1667289036;"2022/11/01 08:50:36";18.8;18.5;0;592
1667289638;"2022/11/01 09:00:38";18.8;18.5;0;602
1667290240;"2022/11/01 09:10:40";18.8;18.5;0;602
1667290843;"2022/11/01 09:20:43";18.8;18.5;0;603
1667291434;"2022/11/01 09:30:34";18.8;18.5;0;591
1667292037;"2022/11/01 09:40:37";18.8;18.5;0;603
1667292639;"2022/11/01 09:50:39";18.8;18.5;0;602
1667293242;"2022/11/01 10:00:42";18.8;18.5;0;603
1667293274;"2022/11/01 10:01:14";18.8;14.5;0;32
1667293866;"2022/11/01 10:11:06";18.8;14.5;0;592
1667294468;"2022/11/01 10:21:08";18.9;14.5;0;602
1667295070;"2022/11/01 10:31:10";19;14.5;0;602
1667295673;"2022/11/01 10:41:13";19;14.5;0;603
1667296265;"2022/11/01 10:51:05";19.1;14.5;0;592
1667296867;"2022/11/01 11:01:07";19;14.5;0;602
1667297469;"2022/11/01 11:11:09";19.1;14.5;0;602
1667298072;"2022/11/01 11:21:12";19.3;14.5;0;603
1667298663;"2022/11/01 11:31:03";19.4;14.5;0;591
1667299266;"2022/11/01 11:41:06";19.6;14.5;0;603
1667299868;"2022/11/01 11:51:08";19.7;14.5;0;602
1667300471;"2022/11/01 12:01:11";19.7;14.5;0;603
1667301073;"2022/11/01 12:11:13";19.7;14.5;0;602
1667301665;"2022/11/01 12:21:05";19.8;14.5;0;592
1667302267;"2022/11/01 12:31:07";19.8;14.5;0;602
1667302892;"2022/11/01 12:41:32";19.9;14.5;0;625
1667303494;"2022/11/01 12:51:34";19.9;14.5;0;602
1667304096;"2022/11/01 13:01:36";20;14.5;0;602
1667304698;"2022/11/01 13:11:38";20;14.5;0;602
1667305301;"2022/11/01 13:21:41";20;14.5;0;603
1667305892;"2022/11/01 13:31:32";20;14.5;0;591
1667306495;"2022/11/01 13:41:35";20;14.5;0;603
1667307097;"2022/11/01 13:51:37";20;14.5;0;602
1667307700;"2022/11/01 14:01:40";20;14.5;0;603
1667308291;"2022/11/01 14:11:31";19.9;14.5;0;591
1667308894;"2022/11/01 14:21:34";19.9;14.5;0;603
1667309496;"2022/11/01 14:31:36";19.9;14.5;0;602
1667310099;"2022/11/01 14:41:39";19.8;14.5;0;603
1667310701;"2022/11/01 14:51:41";19.8;14.5;0;602
1667311293;"2022/11/01 15:01:33";19.8;14.5;0;592
1667311895;"2022/11/01 15:11:35";19.7;14.5;0;602
1667312498;"2022/11/01 15:21:38";19.7;14.5;0;603
1667313100;"2022/11/01 15:31:40";19.6;14.5;0;602
1667313692;"2022/11/01 15:41:32";19.6;14.5;0;592
1667314294;"2022/11/01 15:51:34";19.6;14.5;0;602
1667314896;"2022/11/01 16:01:36";19.5;14.5;0;602
1667315499;"2022/11/01 16:11:39";19.5;14.5;0;603
1667316101;"2022/11/01 16:21:41";19.5;14.5;0;602
1667316693;"2022/11/01 16:31:33";19.4;14.5;0;592
1667317295;"2022/11/01 16:41:35";19.4;14.5;0;602
1667317898;"2022/11/01 16:51:38";19.4;14.5;0;603
1667318500;"2022/11/01 17:01:40";19.3;14.5;0;602
1667319092;"2022/11/01 17:11:32";19.3;14.5;0;592
1667319694;"2022/11/01 17:21:34";19.3;14.5;0;602
1667320297;"2022/11/01 17:31:37";19.3;14.5;0;603
1667320899;"2022/11/01 17:41:39";19.2;14.5;0;602
1667321157;"2022/11/01 17:45:57";19.2;18.5;0;258
1667321749;"2022/11/01 17:55:49";19.2;18.5;0;592
1667322351;"2022/11/01 18:05:51";19.2;18.5;0;602
1667322599;"2022/11/01 18:09:59";19.2;17.5;0;248
1667323190;"2022/11/01 18:19:50";19.6;17.5;0;591
1667323793;"2022/11/01 18:29:53";19.5;18.5;0;603
1667324395;"2022/11/01 18:39:55";19.4;18.5;0;602
1667324998;"2022/11/01 18:49:58";19.4;18.5;0;603
1667325589;"2022/11/01 18:59:49";19.3;18.5;0;591
1667326192;"2022/11/01 19:09:52";19.2;18.5;0;603
1667326794;"2022/11/01 19:19:54";19.2;18.5;0;602
1667327397;"2022/11/01 19:29:57";19.2;18.5;0;603
1667327988;"2022/11/01 19:39:48";19.2;18.5;0;591
1667328591;"2022/11/01 19:49:51";19.2;18.5;0;603
1667329193;"2022/11/01 19:59:53";19.1;18.5;0;602
1667329796;"2022/11/01 20:09:56";19.1;18.5;0;603
1667330398;"2022/11/01 20:19:58";19.1;18.5;0;602
1667330990;"2022/11/01 20:29:50";19.1;18.5;0;592
1667331592;"2022/11/01 20:39:52";19.1;18.5;0;602
1667332194;"2022/11/01 20:49:54";19.1;18.5;0;602
1667332797;"2022/11/01 20:59:57";19.1;18.5;0;603
1667333389;"2022/11/01 21:09:49";19.2;18.5;0;592
1667333991;"2022/11/01 21:19:51";19.2;18.5;0;602
1667334593;"2022/11/01 21:29:53";19.2;18.5;0;602
